               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.094373,            0.052611,            0.025357,             0.43813,              0.3821,             0.31746,             0.10964,            0.070516,            0.032823,            0.018147,             0.00207,             0.00207,             0.08137
                   1,            0.070509,            0.054635,            0.016439,              0.5953,              0.5043,               0.519,             0.23266,            0.060174,              0.0315,           0.0096942,            0.004127,            0.004127,            0.062627
                   2,            0.067797,            0.051962,            0.012916,             0.66051,             0.50688,             0.55192,             0.24776,            0.057552,            0.031462,            0.008617,           0.0060928,           0.0060928,            0.043793
                   3,            0.063923,            0.052579,            0.011782,             0.68976,             0.48998,             0.54602,             0.23498,            0.058621,            0.032127,           0.0089607,           0.0079024,           0.0079024,            0.024802
                   4,             0.06338,            0.053129,            0.011809,             0.60718,              0.4972,             0.50939,             0.22045,            0.058411,            0.033973,            0.010183,           0.0091406,           0.0091406,           0.0091406
                   5,            0.060402,            0.053849,              0.0116,             0.63683,             0.49889,             0.52175,             0.22868,            0.058557,            0.033275,           0.0091683,           0.0091406,           0.0091406,           0.0091406
                   6,            0.059223,            0.053092,            0.011273,             0.64879,             0.51702,              0.5467,             0.25106,             0.05654,            0.033145,           0.0093288,            0.008682,            0.008682,            0.008682
                   7,            0.057752,            0.052856,            0.010845,             0.68219,             0.51057,             0.55597,             0.26519,            0.056703,            0.033821,           0.0095437,            0.008145,            0.008145,            0.008145
                   8,            0.057015,            0.052018,            0.010556,             0.70552,             0.50758,               0.561,             0.26632,            0.056034,            0.033451,           0.0088363,            0.007543,            0.007543,            0.007543
                   9,            0.055817,            0.051723,            0.010057,             0.67216,             0.55006,             0.57667,             0.28007,            0.055363,            0.032835,           0.0083994,           0.0068906,           0.0068906,           0.0068906
                  10,            0.055095,             0.05106,           0.0095558,             0.70564,             0.52839,             0.57387,              0.2805,            0.054453,            0.032869,           0.0080198,            0.006204,            0.006204,            0.006204
                  11,            0.054827,            0.051705,           0.0092556,             0.71119,             0.51962,             0.57734,             0.28791,            0.054735,            0.032855,           0.0079939,              0.0055,              0.0055,              0.0055
                  12,            0.053808,            0.050685,           0.0090164,             0.70103,             0.53559,             0.58507,             0.29752,            0.053619,            0.032797,           0.0076531,            0.004796,            0.004796,            0.004796
                  13,             0.05317,            0.049992,           0.0085694,             0.73495,             0.53082,             0.58468,             0.29041,            0.054025,            0.032684,           0.0078956,           0.0041094,           0.0041094,           0.0041094
                  14,            0.052324,            0.049862,           0.0085448,             0.72909,             0.54799,             0.59588,             0.30836,            0.052755,            0.032164,           0.0074107,            0.003457,            0.003457,            0.003457
                  15,            0.051591,            0.048854,           0.0082225,              0.7362,             0.54081,              0.6028,             0.30593,            0.052543,            0.032135,           0.0071666,            0.002855,            0.002855,            0.002855
                  16,            0.051296,            0.048855,           0.0081826,             0.70675,             0.56836,             0.61022,             0.31441,            0.052243,            0.031941,           0.0071908,            0.002318,            0.002318,            0.002318
                  17,            0.050631,             0.04784,           0.0078297,             0.72492,             0.55517,             0.60337,             0.31167,            0.052525,            0.032327,           0.0073813,           0.0018594,           0.0018594,           0.0018594
                  18,            0.050497,            0.048162,           0.0076282,             0.77588,             0.53957,             0.61556,             0.31977,            0.052064,            0.031876,           0.0074235,           0.0014905,           0.0014905,           0.0014905
                  19,            0.050098,            0.047898,           0.0074827,              0.7359,             0.56386,             0.61852,             0.32124,            0.052076,            0.031833,           0.0071535,           0.0012202,           0.0012202,           0.0012202
